,Country,GDP
2014-06-18,Argentina,-0.701398856
2014-06-19,Argentina,-0.701398856
2014-06-20,Argentina,-0.701398856
2014-06-21,Argentina,-0.701398856
2014-06-22,Argentina,-0.701398856
2014-06-23,Argentina,-0.701398856
2014-06-24,Argentina,-0.701398856
2014-06-25,Argentina,-0.701398856
2014-06-26,Argentina,-0.701398856
2014-06-27,Argentina,-0.701398856
2014-06-28,Argentina,-0.701398856
2014-06-29,Argentina,-0.701398856
2014-06-30,Argentina,-0.701398856
2014-07-01,Argentina,-0.875239866
2014-07-02,Argentina,-0.875239866
2014-07-03,Argentina,-0.875239866
2014-07-04,Argentina,-0.875239866
2014-07-05,Argentina,-0.875239866
2014-07-06,Argentina,-0.875239866
2014-07-07,Argentina,-0.875239866
2014-07-08,Argentina,-0.875239866
2014-07-09,Argentina,-0.875239866
2014-07-10,Argentina,-0.875239866
2014-07-11,Argentina,-0.875239866
2014-07-12,Argentina,-0.875239866
2014-07-13,Argentina,-0.875239866
2014-07-14,Argentina,-0.875239866
2014-07-15,Argentina,-0.875239866
2014-07-16,Argentina,-0.875239866
2014-07-17,Argentina,-0.875239866
2014-07-18,Argentina,-0.875239866
2014-07-19,Argentina,-0.875239866
2014-07-20,Argentina,-0.875239866
2014-07-21,Argentina,-0.875239866
2014-07-22,Argentina,-0.875239866
2014-07-23,Argentina,-0.875239866
2014-07-24,Argentina,-0.875239866
2014-07-25,Argentina,-0.875239866
2014-07-26,Argentina,-0.875239866
2014-07-27,Argentina,-0.875239866
2014-07-28,Argentina,-0.875239866
2014-07-29,Argentina,-0.875239866
2014-07-30,Argentina,-0.875239866
2014-07-31,Argentina,-0.875239866
2014-08-01,Argentina,-0.875239866
2014-08-02,Argentina,-0.875239866
2014-08-03,Argentina,-0.875239866
2014-08-04,Argentina,-0.875239866
2014-08-05,Argentina,-0.875239866
2014-08-06,Argentina,-0.875239866
2014-08-07,Argentina,-0.875239866
2014-08-08,Argentina,-0.875239866
2014-08-09,Argentina,-0.875239866
2014-08-10,Argentina,-0.875239866
2014-08-11,Argentina,-0.875239866
2014-08-12,Argentina,-0.875239866
2014-08-13,Argentina,-0.875239866
2014-08-14,Argentina,-0.875239866
2014-08-15,Argentina,-0.875239866
2014-08-16,Argentina,-0.875239866
2014-08-17,Argentina,-0.875239866
2014-08-18,Argentina,-0.875239866
2014-08-19,Argentina,-0.875239866
2014-08-20,Argentina,-0.875239866
2014-08-21,Argentina,-0.875239866
2014-08-22,Argentina,-0.875239866
2014-08-23,Argentina,-0.875239866
2014-08-24,Argentina,-0.875239866
2014-08-25,Argentina,-0.875239866
2014-08-26,Argentina,-0.875239866
2014-08-27,Argentina,-0.875239866
2014-08-28,Argentina,-0.875239866
2014-08-29,Argentina,-0.875239866
2014-08-30,Argentina,-0.875239866
2014-08-31,Argentina,-0.875239866
2014-09-01,Argentina,-0.875239866
2014-09-02,Argentina,-0.875239866
2014-09-03,Argentina,-0.875239866
2014-09-04,Argentina,-0.875239866
2014-09-05,Argentina,-0.875239866
2014-09-06,Argentina,-0.875239866
2014-09-07,Argentina,-0.875239866
2014-09-08,Argentina,-0.875239866
2014-09-09,Argentina,-0.875239866
2014-09-10,Argentina,-0.875239866
2014-09-11,Argentina,-0.875239866
2014-09-12,Argentina,-0.875239866
2014-09-13,Argentina,-0.875239866
2014-09-14,Argentina,-0.875239866
2014-09-15,Argentina,-0.875239866
2014-09-16,Argentina,-0.875239866
2014-09-17,Argentina,-0.875239866
2014-09-18,Argentina,-0.875239866
2014-09-19,Argentina,-0.875239866
2014-09-20,Argentina,-0.875239866
2014-09-21,Argentina,-0.875239866
2014-09-22,Argentina,-0.875239866
2014-09-23,Argentina,-0.875239866
2014-09-24,Argentina,-0.875239866
2014-09-25,Argentina,-0.875239866
2014-09-26,Argentina,-0.875239866
2014-09-27,Argentina,-0.875239866
2014-09-28,Argentina,-0.875239866
2014-09-29,Argentina,-0.875239866
2014-09-30,Argentina,-0.875239866
2014-10-01,Argentina,0.516380506
2014-10-02,Argentina,0.516380506
2014-10-03,Argentina,0.516380506
2014-10-04,Argentina,0.516380506
2014-10-05,Argentina,0.516380506
2014-10-06,Argentina,0.516380506
2014-10-07,Argentina,0.516380506
2014-10-08,Argentina,0.516380506
2014-10-09,Argentina,0.516380506
2014-10-10,Argentina,0.516380506
2014-10-11,Argentina,0.516380506
2014-10-12,Argentina,0.516380506
2014-10-13,Argentina,0.516380506
2014-10-14,Argentina,0.516380506
2014-10-15,Argentina,0.516380506
2014-10-16,Argentina,0.516380506
2014-10-17,Argentina,0.516380506
2014-10-18,Argentina,0.516380506
2014-10-19,Argentina,0.516380506
2014-10-20,Argentina,0.516380506
2014-10-21,Argentina,0.516380506
2014-10-22,Argentina,0.516380506
2014-10-23,Argentina,0.516380506
2014-10-24,Argentina,0.516380506
2014-10-25,Argentina,0.516380506
2014-10-26,Argentina,0.516380506
2014-10-27,Argentina,0.516380506
2014-10-28,Argentina,0.516380506
2014-10-29,Argentina,0.516380506
2014-10-30,Argentina,0.516380506
2014-10-31,Argentina,0.516380506
2014-11-01,Argentina,0.516380506
2014-11-02,Argentina,0.516380506
2014-11-03,Argentina,0.516380506
2014-11-04,Argentina,0.516380506
2014-11-05,Argentina,0.516380506
2014-11-06,Argentina,0.516380506
2014-11-07,Argentina,0.516380506
2014-11-08,Argentina,0.516380506
2014-11-09,Argentina,0.516380506
2014-11-10,Argentina,0.516380506
2014-11-11,Argentina,0.516380506
2014-11-12,Argentina,0.516380506
2014-11-13,Argentina,0.516380506
2014-11-14,Argentina,0.516380506
2014-11-15,Argentina,0.516380506
2014-11-16,Argentina,0.516380506
2014-11-17,Argentina,0.516380506
2014-11-18,Argentina,0.516380506
2014-11-19,Argentina,0.516380506
2014-11-20,Argentina,0.516380506
2014-11-21,Argentina,0.516380506
2014-11-22,Argentina,0.516380506
2014-11-23,Argentina,0.516380506
2014-11-24,Argentina,0.516380506
2014-11-25,Argentina,0.516380506
2014-11-26,Argentina,0.516380506
2014-11-27,Argentina,0.516380506
2014-11-28,Argentina,0.516380506
2014-11-29,Argentina,0.516380506
